Report,Label,Printed title / caption,Section no.,Section title,Subsection no.,Subsection title,Printed page,Rows (data),Columns,Domain sheet,Domain,Source note as printed,Export line no.
SGA,EXHIBIT 6,Six functional cold chains for sixty-three barangays,4,Stage Two — First Contact,4.6,Cold chain,13.0,9,5,D05,Cold chain and commodities,"Note. Adapted from International Organization for Migration (2026a). Six of 66 facilities, or 9.1 per cent, hold a functional cold chain. Six Nabalawag records carry no cold-chain entry at all; they are shown as unrecorded and are not counted as facilities without a cold chain. Three municipalities — Kapalawan, Old Kaabakan and Pahamuddin, holding 64,634 residents across 26 barangays — record none anywhere. The area's mean cold-chain score is 0.40 on the programme's 0–2 scale, against a BARMM mean of 0.61. Read with the measured full-vaccination rate of 3 per cent (Exhibit 2), this is a task of establishment rather than of rehabilitation. The regional figure of fewer than 5 per cent of facilities holding adequate refrigerator temperatures (World Bank, 2020, p. 141) derives from a 2017 survey that visited no facility in this territory and is not a measurement of the area.",556
SGA,TABLE 7,"PhilHealth-accredited health care institutions, BARMM by province, 31 July 2024",5,Stage Three — Payment,5.2,"Accreditation not evidenced in the supplied records, and what that may foreclose",19.0,19,9,D06,"Payment, PhilHealth and financing","Note. Adapted from Philippine Health Insurance Corporation (2024), Annex A, reproduced as printed. The Special Geographic Area does not appear in this return. It is not a column, it is not a row, and the document does not state where its 214,703 residents or its 66 facilities are counted. The return is dated three months after the area's ratification. The zero-accreditation finding for the area therefore rests on the municipalities' own uniform return of “No” across all 66 records (International Organization for Migration, 2026a), corroborated by the absence of any Special Geographic Area facility from this matrix. One caveat on the matrix itself: the source's merged header extracts as a single line and the column-to-province mapping is inferred; row and column sums verify (14+7+11+7+8+5+6 = 58; 86+52+91+47+31+14+26 = 347), but the province labels should be confirmed against the original layout before external publication.",601
SGA,EXHIBIT 7,Zero of three hundred and forty-seven,5,Stage Three — Payment,5.2,"Accreditation not evidenced in the supplied records, and what that may foreclose",19.0,1,4,D06,"Payment, PhilHealth and financing","Note. The International Organization for Migration (2026a) return records “No” across all 66 facility records, with no partial or programme-specific accreditation reported. The July 2024 PhilHealth regional return does not contain a printed Special Geographic Area line and does not state where its facilities or members are counted; its merged-header category mapping was reconstructed. These dated sources support the statement that accreditation is not evidenced in the supplied records. They do not conclusively establish current 2026 YAKAP status. Verify the official facility-level roster before publishing a categorical current total.",632
SGA,EXHIBIT 8,"Four estimates of the same revenue, and the amount collectible",5,Stage Three — Payment,5.3,"The ₱444,926,240 that cannot be earned",19.0,5,4,D06,"Payment, PhilHealth and financing","Note. Derived from the municipalities’ worksheets. The arithmetic corrections are reproducible, including Kadayangan’s recovered cells and the omitted 60 per cent factor in six municipalities. The census-based ₱218,997,060 result is not a revenue projection or an amount collectible. It is a gross scenario equal to 214,703 × 60 per cent × ₱1,700, assuming 60 per cent empanelment/first-patient-encounter completion and realization of the full per-capita amount. Accreditation, empanelment, service completion and performance conditions are not established. The figure should be used only as a sensitivity scenario for accreditation planning.",663
SGA,EXHIBIT 9,Every referral path leaves the jurisdiction,6,Stage Four — Referral,6.1,A referral chain that terminates outside the jurisdiction,23.0,8,3,D07,Referral and inpatient capacity,"Note. Adapted from International Organization for Migration (2026a). These are self-reported travel times to whatever facility each station regards as its next step, not modelled travel times to a defined service, and no cross-area access comparator exists in any package in this programme. They establish that most of the area is within an hour of the next step in its own chain; they do not establish that any part of the area is within an hour of a bed, a physician or a laboratory, and on the evidence of Exhibit 4 none of the 66 facilities is. One record reports no turnaround time and one records a value to which the parser could not attach a unit. The absence of a referral completion rate reflects the absence of measurement rather than a failure of service, and the report maintains the distinction because the two conditions call for different responses.",714
SGA,TABLE 8,The FHSIS apparatus at municipal level,7,Stage Five — Follow-Up and the Record,7.1,The FHSIS apparatus,25.0,10,3,D08,"Routine reporting, FHSIS and civil registration","Note. Adapted from Ministry of Health–Bangsamoro Autonomous Region in Muslim Mindanao (2025), a unit-and-resourcing survey conducted November–December 2025, and from International Organization for Migration (2026a). A hard “No report” against two units is a measurement of transmission, not of recording. No statement about the six unassessed municipalities is made or implied.",768
SGA,EXHIBIT 10,Two accounts of the same reporting performance,7,Stage Five — Follow-Up and the Record,7.2,The contradiction between the two reporting accounts,25.0,7,3,D09,Reconciliation and divergences,"Note. Adapted from International Organization for Migration (2026a) and Ministry of Health–Bangsamoro Autonomous Region in Muslim Mindanao (2025). The two accounts are not reconcilable as measurements of the same object and no attempt is made to reconcile them. A network can achieve internal transmission completely and external transmission not at all, and that is the most economical explanation of a 99.8 per cent internal figure alongside a “No report” external one. Treating the self-reported figure as evidence of adequate reporting would overstate the case; treating the “No report” finding as evidence that the area does not record its work would understate it. Six municipalities holding 169,941 residents have not been assessed, and no statement about them is made or implied.",798
SGA,EXHIBIT 11,Five divergences between the administrative record and the local record,8,The Reconciliation,,,27.0,5,4,D09,Reconciliation and divergences,"Note. Compiled for this report. The divergences do not run in one direction. The area’s self-reported process indicators run high; externally recorded structural indicators run at or near zero; and self-reported quantities also run high. Inpatient beds are corroborated by the project-held facility register. Accreditation and primary-care benefit status are not evidenced in the supplied dated records, but the Special Geographic Area is absent rather than expressly reported as zero in the July 2024 regional return. Those statuses require confirmation against the current official YAKAP facility-level roster before publication as current totals.",846
SGA,TABLE 9,Legal obligations engaged by the findings,9,Governance and Legal Framework,,,29.0,12,4,D10,Governance and legal framework,"Note. Statutory titles and numbers were verified against the accessible published texts of the Bangsamoro Parliament, the Bangsamoro Official Gazette and the Official Gazette of the Republic. The mapping is the author's and is offered as an aid to assigning responsibility; it is not a statutory cross-reference and does not substitute for legal advice. Three verification caveats are carried at §13.3: the verbatim text of Article XV of the Bangsamoro Organic Law was not retrieved and is not quoted; the Bangsamoro Official Gazette landing pages for Acts Nos. 43 and 44 render the municipality names differently from the Parliament's register; and the specific issuance governing licensure of primary care facilities in a devolved region was not obtained, which is why the licensing row names a function rather than a section.",881
SGA,EXHIBIT 12,Sequencing: what must be true before the next thing can work,10,"Priorities: sequencing by stage, not by sector",,,31.0,7,4,D11,Priorities and sequencing,"Note. Compiled for this report. Actions 1, 2, 5 and 7 require no capital and can begin immediately; Action 1 is Tasks 1 and 2 of the ninety-day programme at Section 11, Action 2 is Tasks 3 and 4, Action 5 is Task 5, Action 6 is Task 6 and Action 7 is Task 7. Action 3 is the highest-value action in the report and is conditional on Action 1. Action 4 is low-cost and high-certainty. Action 6 is the capital programme and is sized at Section 12. The order differs from the other diagnostics in this series because this area's constraint is entitlement rather than access: it has built the bottom of the pyramid completely and has none of the rest of it.",921
SGA,TABLE 10,The ninety-day validation programme,11,The Ninety-Day Validation Programme,,,33.0,7,5,D11,Priorities and sequencing,"Note. Compiled for this report. No task requires capital expenditure. Task 1 conditions every recurrent cost in Section 12; Task 2 conditions every accreditation-dependent figure; Task 3 conditions Tasks 5 and 6. Tasks 1, 2, 3 and 7 require action by regional or national bodies and cannot be completed by the municipalities alone; Tasks 4, 5 and 6 are substantially within municipal authority. The programme is structured for completion within ninety days of adoption.",958
SGA,EXHIBIT 13,Volumetrics for the two-year programme,12,"Two-Year Investment Logic, 2026–2028",12.1,Volumetrics,35.0,3,4,D12,Investment logic and volumetrics,"Note. Derived from Philippine Statistics Authority (2025a), International Organization for Migration (2026a, 2026c) and the target at World Bank (2020, p. 130). No peso amount is attached. No current MOH-BARMM or Health Facility Enhancement Program unit-cost schedule was available, and — more to the point in this area — until Tasks 1 and 2 are answered a costed envelope would be a costed envelope with no identified payer (§12). The quantities are stated so that costing becomes mechanical once schedules and a fiscal determination are supplied.",989
SGA,TABLE 11,"Two-year programme: volumetrics, sequencing and financing route",12,"Two-Year Investment Logic, 2026–2028",12.2,The programme,35.0,8,6,D12,Investment logic and volumetrics,"Note. Financing routes are named from the sources the eight municipalities themselves cite in their two-year plans (International Organization for Migration, 2026a) — municipal budget, MOH, SGADA, the Special Geographic Area field health office, barangay budget, PhilHealth, the General Appropriations Act of the Bangsamoro, the Special Development Fund, partner agencies and Member of Parliament support — and from the standing fiscal instruments identified at §5.4. Two routes ordinarily available to a Philippine municipality are omitted deliberately: the National Tax Allotment and the 20 per cent Development Fund computed on it, pending Task 1. Each component should be routed through the municipal investment plan for health, the Annual Investment Program and Sanggunian appropriation, with a specific appropriation line and amount attached. Components 3, 4 and 8 carry no or low capital cost and can begin on adoption.",1004
SGA,TABLE 12,Area monitoring indicators,12,"Two-Year Investment Logic, 2026–2028",12.2,The programme,35.0,12,5,D13,Monitoring indicators,"Note. Compiled for this report. Nine of the twelve baselines are zero, near zero, or not computable, and that is the intended property of the set. In an area with no statistical history, an indicator that moves off zero is a measurable result; an indicator expressed as a rate against an unvalidated denominator is not. Indicator 11 is retired once it reaches approximately 100 per cent. Indicators 1, 3, 5 and 8 are the four on which the two-year programme should be judged.",1022
SGA,ANNEX A,"Municipal master table, eight municipalities",,REFERENCES,,,,9,23,D14,"Annexes, master tables and gap registers","Note. Column sources. Act, PSGC, population and barangay counts: Bangsamoro Autonomy Acts Nos. 41–48 and Philippine Statistics Authority (2025a), 2024 Census of Population, reference date 1 July 2024. Barangays with a service point, service points, rural health units (own), barangay health stations, self-help structures, accreditation, cold chain, equipment readiness, composite, catchment, revenue, systems-map priority rows and plan actions: International Organization for Migration (2026a), the municipalities' own returns, unaudited. “Map rows H/M/L” counts the health-systems-map rows each municipality returned, by standardised priority; it is not a classification of the 66 priority-gap records, which carry no priority field. Registered barangays, rural health units (register) and beds: International Organization for Migration (2026c), the project-held DOH facility register. FHSIS: Ministry of Health–BARMM (2025) EBDM capacity index; an em dash denotes not assessed, not a score of zero.",1156
SGA,ANNEX B,Municipality structural completion and planning tiers,,REFERENCES,,,,9,7,D14,"Annexes, master tables and gap registers","Note. Compiled for this report. Tier 1 — structural completion: a tier of the network is absent or unregistered, so a resident's first or second point of contact does not exist in one of the two registers. Tier 2 — equipment: the network is complete and unequipped; the binding constraint is procurement and power. Tier 3 — verification: the network is complete and equipped to the area's median, and the constraint is that its own evidence cannot presently be relied on for allocation. No municipality qualifies for a monitor-and-sustain tier. Tiers are assigned on the most binding constraint; several municipalities sit in more than one and the full position is in the preceding columns. Nabalawag and Pahamuddin are the only municipalities with any external assessment, and both were recorded as submitting no report; their tier assignment rests on structural facts, not on that assessment.",1180
SGA,ANNEX C,Evidence gap register,,REFERENCES,,,,21,4,D14,"Annexes, master tables and gap registers",Note. Compiled for this report. Sixteen of the eighteen items are documents held by an identified office and retrievable by written request; two — items 3 and 10 — require field collection. None requires new research design.,1203
